cod provee;nombre ;nombre largo ;detalle;fam;clas;costo ;lista
BAPRECP030;Aro con Piedra Brillante;Aro con Piedra Brillante;Aro con piedra brillante Circular Material EnchapadoColor Oro;52;52005;18000;65000
BACOLPCP030;Aro Colgante Pluma;Aro Colgante Pluma;Aro Colgante de Pluma Color OroMaterial EnchapadoConsideraban la pluma como simbolo de valor, asi que la veian como un regalo muy especial.;52;52005;18000;64000
BAPRE111;Aro Billante Solitario;Aro Billante Solitario;Aro brillante solitarioColor OroMaterial Enchapado Simil Zircon;52;52005;15000;30000
ACR1311039;Cadena Infinito;Cadena Infinito;Cadena con Dije InfinitoColor OroMaterial Acero quirurgico El Infinito simboliza la eternidad, el empoderamiento y el amor eterno.;52;52005;24000;40000
ACV13090;Pulsera Esclava Dorada;Pulsera Esclava Dorada;diseno EsclavaAcero QuirurgicoColor OroCuenta la leyenda que cada mujer india al casarse con un indio recibia una pulsera hecha con ramas o plantas la cual pactaba fidelidad a el;52;52005;45000;54000
ACARGSP035;Aro Colgante Argolla;Aro Colgante Argolla;Aro Colgante Argolla Color OroMaterial Acero;52;52005;21000;60000
ACPULSP065;Pulsera Trebol 4 Hojas;Pulsera Trebol 4 Hojas;Pulsera con Ancha con diseno de Trebol de 4 Hojas Material Acero QuirurgicoColor Oro y detalles en negroLa forma de trebol de 4 hojas significa prosperidad y buena fortuna en tu vida;52;52005;39000;65000
ACPULSP0651;Pulsera Nro Romano;Pulsera Nro Romano;Pulsera con Numeros Romanos y una hermosa piedra negra;52;52005;39000;65000
ACV13110451;Cadena de Aro y Barra;Cadena de Aro y Barra;Cadena de Aro y Barra para EnlazarColor PlataMaterial Acero;52;52005;27000;35000
ACCADDT06;Cadena Trebol;Cadena Trebol;Cadena de Trebol 4 HojasMaterial Acero QuirurgicoColor Oro con detalle en negroSabias que, las 4 hojas del trebol pueden representar cuestiones tales como salud, dinero, amor y prosperidad, los 4 puntos cardinales norte, sur, este y oeste, las 4 estaciones del ano primavera, verano, otono e invierno, los 4 elementos de la naturaleza agua, aire, tierra y fuego, las 4 fases de la luna o los cuatro ciclos de la vida, por nombrar solo algunas de las muchas versiones que circulan;52;52005;36000;38000
ACV13110902;Cadena Nacar;Cadena Nacar;Cadena con numeros romanos y dije de NacarColor Tenemos variedades en color oro y tambien plataMaterial Acero Sabias que El Nacar esta compuesto de carbonato de calcio. El estrato mas interno e iridiscente de las caparazones de los moluscos, de las ostras y conchas viene llamado Nacar. Los colores del Nacar se diferencian segun la especie y el origen geografico.;52;52005;54000;90000
ACV1311090;Cadena Esfera Negra ;Cadena Esfera Negra ;"Cadena Esfera Negra con números romanos y Tres hermosos dijes colgantes
Color Oro
Material: Acero quirurgico
";52;52005;54000;90000
ACV1311090/3;Cadena Doble Argolla ;Cadena Doble Argolla ;"Cadena con numeros romanos y dije de Nacar
Color: Tenemos variedades en color oro
Material: Acero 
Sabias que El Nacar esta compuesto de carbonato de calcio. El estrato mas interno e iridiscente de las caparazones de los moluscos, de las ostras y conchas viene llamado Nacar. Los colores del Nacar se diferencian segun la especie y el origen geografico.";52;52005;54000;90000
ACV13110903;Cadena Nacar con Colgantes;Cadena Nacar con Colgantes;Cadena con Numeros Romanos y piedra de Nacar Color OroMaterial Acero QuirurgicoSabias que El Nacar esta compuesto de carbonato de calcio. El estrato mas interno e iridiscente de las caparazones de los moluscos, de las ostras y conchas viene llamado Nacar. Los colores del Nacar se diferencian segun la especie y el origen geografico.;52;52005;54000;90000
ACV1311042;Cadena Mano Poderosa;Cadena Mano Poderosa;Cadena Mano Poderosa Color PlataDetalles TurquezaMaterial Acero Quirurgico Es un simbolo de origen en Oriente Medio y Africa que se utiliza principalmente como defensa en las culturas musulmanas y judias, tambien conocido como la mano de fatima.;52;52005;26000;42000
ACR1311060;Cadena Dijes Cruz;Cadena Dijes Cruz;Cadena con Dijes de CruzColor OroMaterial Acero Quirurgico Es un amuleto de proteccion que es utilizado por muchas personas;52;52005;12000;36000
ACV1311085;Cadena Cruz de Nacar;Cadena Cruz de Nacar;Cadena con Dije Cruz de NacarColor OroMaterial Acero Quirurgico;52;52005;51000;85000
ACV1311075;CADENA ESTRELLA;Cadena Estrella;Diseno Estrella de Nacar Material Acero QuirurgicoColor Oro Dicen que la estrella simboliza la luz, la nitidez, la guia, el brillo, lo desconocido, aquello que nos alumbra pero no se alcanza, el ideal al que queremos llegar. En astrologia, se las consid;52;52005;45000;75000
ACV13110;Cadena Triple Turqueza;Cadena Triple Turqueza;Cadena Triple con detalles en TurquezaColor OroMaterial Acero quirurgico;52;52005;60000;60000
ACV1311090;CADENA DOBLE NACAR;Cadena Doble Nacar;Cadena NacarColor OroMaterial Acero Sabias que El Nacar esta compuesto de carbonato de calcio. El estrato mas interno e iridiscente de las caparazones de los moluscos, de las ostras y conchas viene llamado Nacar. Los colores del Nacar se diferencian segu;52;52005;54000;90000
fac1234;Sujetador de Tapabocas ;Sujetador de Tapabocas ;Hermosos Sujertadores de Tapabocas con diferentes colores, tamaœos y largores ;52;52005;5000;10000
BAPRECP050;Aro Barra Brillante;Aro Barra Brillante;Aro Colgante con PiedrasMaterial EnchapadoColor Oro;52;52005;30000;35000
MCADI58;Cadena Arbol de la Vida ;Cadena Arbol de la Vida ;Cadena con dije Arbol de la Vida . Color: Oro con detalles en Negro;52;52005;58000;174000
MSET28;Juego Cadena + Aro Romano ;Juego Cadena + Aro Romano ;Juego de Cadena mas Aro con numeros romanos . Color: Oro con detalles en negro ;52;52005;28000;84000
MPUL16;Pulsera Pandora ;Pulsera Pandora ;Pulsera con Dije Pandora  . Color Negro ;52;52005;45000;135000
MAE25;Aro Corazon ;Aro Corazon ;Aro colgante con diseœo de Corazon . Color: Oro;52;52005;25000;75000
MAR100;Aro Argolla Pequeœa ;Aro Argolla Pequeœa ;Aro con diseœo de argolla pequeœa  . Color: Oro;52;52005;15000;45000
MAR151;Aro Colgante Negro ;Aro Colgante Negro ;Aro Colgante con un dije circular  . Color: Negro;52;52005;25000;75000
MAR152;Aro Colgante Circulos ;Aro Colgante Circulos ;Aro colgante con 3 Circulos  . Detalle en color negro ;52;52005;25000;75000
